"unit_name","province","block","arm","campaign","median_pre_participants","median_post_participants","area_km2","cells_centroid","cells_interior","interior_frac","core_subset","nearest_targetable_km","google_criteria_id","google_name","google_canonical_name"
"Sevilla, Sevilla","Sevilla",1,"framed","framed_01",17,11,141.27,22,10,0.4545,TRUE,0,"9220037","Municipality of Seville","Municipality of Seville,Andalusia,Spain"
"Zaragoza, Zaragoza","Zaragoza",1,"framed","framed_01",15,6,1061.13,181,121,0.6685,TRUE,0,"9218777","Municipality of Zaragoza","Municipality of Zaragoza,Aragon,Spain"
"Alicante, Alicante","Alicante",1,"framed","framed_01",13,9,201.999,35,9,0.2571,TRUE,0,"9221630","Municipality of Alicante","Municipality of Alicante,Valencian Community,Spain"
"Bilbao, Vizcaya","Vizcaya",1,"framed","framed_01",11,5,41.347,7,1,0.1429,FALSE,0,"9221687","Bilbao","Bilbao,Basque Country,Spain"
"Vitoria-Gasteiz, Álava","Álava",2,"framed","framed_01",9,4,276.096,47,27,0.5745,TRUE,0,"9215403","Vitoria-Gasteiz","Vitoria-Gasteiz,Basque Country,Spain"
"Benidorm, Alicante","Alicante",3,"framed","framed_01",8,2,38.539,9,0,0,FALSE,2.4501,"1005403","Benidorm","Benidorm,Valencian Community,Spain"
"Córdoba, Córdoba","Córdoba",2,"framed","framed_01",8,7,1253.81,205,157,0.7659,TRUE,0,"9211959","Cordoba","Cordoba,Andalusia,Spain"
"Elche, Alicante","Alicante",2,"framed","framed_01",8,4,325.215,53,35,0.6604,TRUE,0,"1005413","Elx","Elx,Valencian Community,Spain"
"Sabadell, Barcelona","Barcelona",2,"framed","framed_01",8,5,37.54,6,2,0.3333,TRUE,0,"9210045","Sabadell","Sabadell,Catalonia,Spain"
"Almería, Almería","Almería",3,"framed","framed_01",7,2,297.338,48,23,0.4792,TRUE,0,"9214022","Municipality of Almeria","Municipality of Almeria,Andalusia,Spain"
"Gijón, Asturias","Asturias",3,"framed","framed_01",7,7,181.984,34,16,0.4706,TRUE,0,"9208717","Gijon","Gijon,Asturias,Spain"
"Torrevieja, Alicante","Alicante",3,"framed","framed_01",7,4,71.671,12,5,0.4167,TRUE,0,"9241443","Torrevieja","Torrevieja,Valencian Community,Spain"
"Barakaldo, Vizcaya","Vizcaya",4,"framed","framed_01",6,3,28.975,6,1,0.1667,FALSE,0,"9211235","Barakaldo","Barakaldo,Basque Country,Spain"
"Blanes, Girona","Girona",4,"framed","framed_01",6,7,18.049,2,0,0,FALSE,0,"9197355","Blanes","Blanes,Catalonia,Spain"
"Girona, Girona","Girona",4,"framed","framed_01",6,4,39.069,7,1,0.1429,FALSE,0,"1005467","Girona","Girona,Girona,Catalonia,Spain"
"Moguer, Huelva","Huelva",4,"framed","framed_01",6,1,367.848,59,31,0.5254,TRUE,0,"9235721","Moguer","Moguer,Andalusia,Spain"
"Algemesí, Valencia","Valencia",5,"framed","framed_01",5,1,41.138,8,1,0.125,FALSE,0,"9249465","Algemesi","Algemesi,Valencian Community,Spain"
"Getafe, Madrid","Madrid",5,"framed","framed_01",5,3,78.576,13,3,0.2308,FALSE,0,"1005491","Getafe","Getafe,Community of Madrid,Spain"
"L'Hospitalet de Llobregat, Barcelona","Barcelona",5,"framed","framed_01",5,2,13.707,1,0,0,FALSE,0,"9260878","L'Hospitalet de Llobregat","L'Hospitalet de Llobregat,Catalonia,Spain"
"Santiago de Compostela, A Coruña","A Coruña",6,"framed","framed_01",5,1,220.19,38,21,0.5526,TRUE,0,"1005483","Santiago de Compostela","Santiago de Compostela,Galicia,Spain"
"Vilanova i la Geltrú, Barcelona","Barcelona",5,"framed","framed_01",5,3,33.791,8,1,0.125,FALSE,0,"1005437","Vilanova i la Geltru","Vilanova i la Geltru,Catalonia,Spain"
"Alcalá de Henares, Madrid","Madrid",6,"framed","framed_01",4,4,87.527,15,5,0.3333,TRUE,0,"1005487","Alcala de Henares","Alcala de Henares,Community of Madrid,Spain"
"Badajoz, Badajoz","Badajoz",6,"framed","framed_01",4,3,1469.583,249,159,0.6386,TRUE,0,"9215308","Badajoz","Badajoz,Extremadura,Spain"
"Burgos, Burgos","Burgos",7,"framed","framed_01",4,1,108.604,18,7,0.3889,TRUE,31.0785,"9218585","Municipality of Burgos","Municipality of Burgos,Castile and Leon,Spain"
"Lleida, Lleida","Lleida",6,"framed","framed_01",4,3,211.816,38,9,0.2368,FALSE,0,"9217269","Lleida","Lleida,Catalonia,Spain"
"Orihuela, Alicante","Alicante",7,"framed","framed_01",4,3,367.11,58,23,0.3966,TRUE,0,"9232921","Orihuela","Orihuela,Valencian Community,Spain"
"Parla, Madrid","Madrid",7,"framed","framed_01",4,3,25.291,4,1,0.25,TRUE,0,"9049163","Parla","Parla,Community of Madrid,Spain"
"Pontevedra, Pontevedra","Pontevedra",7,"framed","framed_01",4,3,117.958,19,6,0.3158,TRUE,0,"9208202","Pontevedra","Pontevedra,Galicia,Spain"
"Aspe, Alicante","Alicante",9,"framed","framed_01",3,1,70.843,9,5,0.5556,TRUE,0,"9236628","Aspe","Aspe,Valencian Community,Spain"
"Cáceres, Cáceres","Cáceres",8,"framed","framed_01",3,2,1748.555,293,207,0.7065,TRUE,0,"9211934","Caceres","Caceres,Extremadura,Spain"
"El Vendrell, Tarragona","Tarragona",9,"framed","framed_01",3,2,36.565,8,2,0.25,TRUE,0,"9215170","El Vendrell","El Vendrell,Catalonia,Spain"
"Las Palmas de Gran Canaria, Las Palmas","Las Palmas",8,"framed","framed_01",3,4,104.186,16,6,0.375,TRUE,0,"9248572","Las Palmas de Gran Canaria","Las Palmas de Gran Canaria,Canary Islands,Spain"
"Leganés, Madrid","Madrid",9,"framed","framed_01",3,2,42.9,5,2,0.4,TRUE,0,"1005492","Leganes","Leganes,Community of Madrid,Spain"
"Llanes, Asturias","Asturias",11,"framed","framed_01",3,0,265.545,47,24,0.5106,TRUE,0,"9212643","Llanes","Llanes,Asturias,Spain"
"Molina de Segura, Murcia","Murcia",10,"framed","framed_01",3,1,170.28,28,12,0.4286,TRUE,0,"9049135","Molina de Segura","Molina de Segura,Region of Murcia,Spain"
"Montcada i Reixac, Barcelona","Barcelona",8,"framed","framed_01",3,3,23.437,6,1,0.1667,FALSE,0,"9222941","Municipality of Montcada i Reixac","Municipality of Montcada i Reixac,Catalonia,Spain"
"Puerto Real, Cádiz","Cádiz",10,"framed","framed_01",3,1,195.514,29,15,0.5172,TRUE,0,"9049179","Puerto Real","Puerto Real,Andalusia,Spain"
"Sagunto, Valencia","Valencia",10,"framed","framed_01",3,1,132.182,23,4,0.1739,FALSE,0,"9049189","Sagunt","Sagunt,Valencian Community,Spain"
"Sant Quirze del Vallès, Barcelona","Barcelona",11,"framed","framed_01",3,0,14.494,3,0,0,FALSE,0,"9209053","Sant Quirze del Valles","Sant Quirze del Valles,Catalonia,Spain"
"Santa Coloma de Gramenet, Barcelona","Barcelona",9,"framed","framed_01",3,2,7.159,2,0,0,FALSE,0,"9229530","Santa Coloma de Gramenet","Santa Coloma de Gramenet,Catalonia,Spain"
"Torrejón de Ardoz, Madrid","Madrid",10,"framed","framed_01",3,1,32.635,6,1,0.1667,FALSE,0,"1005496","Torrejon de Ardoz","Torrejon de Ardoz,Community of Madrid,Spain"
"Vélez-Málaga, Málaga","Málaga",8,"framed","framed_01",3,3,157.618,23,10,0.4348,TRUE,0,"9221698","Velez-Malaga","Velez-Malaga,Andalusia,Spain"
"Algeciras, Cádiz","Cádiz",11,"framed","framed_02",2,2,87.001,15,6,0.4,TRUE,0,"1005443","Algeciras","Algeciras,Andalusia,Spain"
"Aranjuez, Madrid","Madrid",16,"framed","framed_02",2,0,188.507,29,7,0.2414,FALSE,0,"9048987","Aranjuez","Aranjuez,Community of Madrid,Spain"
"Arganda del Rey, Madrid","Madrid",13,"framed","framed_02",2,1,79.675,15,4,0.2667,TRUE,0,"9048991","Arganda del Rey","Arganda del Rey,Community of Madrid,Spain"
"Banyoles, Girona","Girona",16,"framed","framed_02",2,0,10.818,2,0,0,FALSE,7.2602,"9218947","Banyoles","Banyoles,Catalonia,Spain"
"Bétera, Valencia","Valencia",17,"framed","framed_02",2,0,74.65,12,5,0.4167,TRUE,0,"9221126","Municipality of Betera","Municipality of Betera,Valencian Community,Spain"
"Cambrils, Tarragona","Tarragona",12,"framed","framed_02",2,2,35.272,5,1,0.2,FALSE,0,"9197598","Cambrils","Cambrils,Catalonia,Spain"
"Cardedeu, Barcelona","Barcelona",17,"framed","framed_02",2,0,12.104,3,0,0,FALSE,0,"9256314","Cardedeu","Cardedeu,Catalonia,Spain"
"Castell-Platja d'Aro, Girona","Girona",17,"framed","framed_02",2,0,21.704,4,0,0,FALSE,0,"9246276","Castell-Platja d'Aro","Castell-Platja d'Aro,Catalonia,Spain"
"Ciutadella de Menorca, Baleares","Baleares",11,"framed","framed_02",2,3,188.109,29,18,0.6207,TRUE,0,"9207479","Ciutadella de Menorca","Ciutadella de Menorca,Balearic Islands,Spain"
"Cuenca, Cuenca","Cuenca",17,"framed","framed_02",2,0,953.025,158,59,0.3734,TRUE,35.6823,"1005457","Cuenca","Cuenca,Castile-La Mancha,Spain"
"Dénia, Alicante","Alicante",13,"framed","framed_02",2,1,66.975,9,3,0.3333,TRUE,0,"9049053","Denia","Denia,Valencian Community,Spain"
"El Masnou, Barcelona","Barcelona",14,"framed","framed_02",2,1,3.375,1,0,0,FALSE,0,"9239019","El Masnou","El Masnou,Catalonia,Spain"
"El Prat de Llobregat, Barcelona","Barcelona",12,"framed","framed_02",2,2,30.608,5,1,0.2,FALSE,0,"9221222","El Prat de Llobregat","El Prat de Llobregat,Catalonia,Spain"
"Es Mercadal, Baleares","Baleares",14,"framed","framed_02",2,1,139.894,24,9,0.375,TRUE,0,"9214803","Es Mercadal","Es Mercadal,Balearic Islands,Spain"
"Estepona, Málaga","Málaga",14,"framed","framed_02",2,1,137.766,23,9,0.3913,TRUE,0,"9049069","Estepona","Estepona,Andalusia,Spain"
"Ferrol, A Coruña","A Coruña",14,"framed","framed_02",2,1,84.666,15,5,0.3333,TRUE,0,"9221900","Ferrol","Ferrol,Galicia,Spain"
"Langreo, Asturias","Asturias",15,"framed","framed_02",2,1,82.35,16,4,0.25,TRUE,0,"9207664","Langreo","Langreo,Asturias,Spain"
"Linares, Jaén","Jaén",18,"framed","framed_02",2,0,196.844,30,18,0.6,TRUE,0,"9210404","Linares","Linares,Andalusia,Spain"
"Llagostera, Girona","Girona",18,"framed","framed_02",2,0,76.692,15,5,0.3333,TRUE,0,"9251534","Llagostera","Llagostera,Catalonia,Spain"
