"campaign","n_municipalities","budget_total_eur","budget_per_municipality_eur","daily_30d_flight_eur","daily_60d_flight_eur"
"MA2026_framed_01",42,250,5.9524,8.33,4.17
"MA2026_framed_02",42,250,5.9524,8.33,4.17
"MA2026_framed_03",42,250,5.9524,8.33,4.17
"MA2026_framed_04",42,250,5.9524,8.33,4.17
"MA2026_framed_05",42,250,5.9524,8.33,4.17
"MA2026_framed_06",42,250,5.9524,8.33,4.17
"MA2026_framed_07",42,250,5.9524,8.33,4.17
"MA2026_framed_08",42,250,5.9524,8.33,4.17
"MA2026_framed_09",42,250,5.9524,8.33,4.17
"MA2026_framed_10",42,250,5.9524,8.33,4.17
"MA2026_neutral_01",42,250,5.9524,8.33,4.17
"MA2026_neutral_02",42,250,5.9524,8.33,4.17
"MA2026_neutral_03",42,250,5.9524,8.33,4.17
"MA2026_neutral_04",42,250,5.9524,8.33,4.17
"MA2026_neutral_05",42,250,5.9524,8.33,4.17
"MA2026_neutral_06",42,250,5.9524,8.33,4.17
"MA2026_neutral_07",42,250,5.9524,8.33,4.17
"MA2026_neutral_08",42,250,5.9524,8.33,4.17
"MA2026_neutral_09",42,250,5.9524,8.33,4.17
"MA2026_neutral_10",42,250,5.9524,8.33,4.17
