"Campaign","Location"
"MA2026_framed_01","9220037"
"MA2026_framed_01","9218777"
"MA2026_framed_01","9221630"
"MA2026_framed_01","9221687"
"MA2026_framed_01","9215403"
"MA2026_framed_01","1005403"
"MA2026_framed_01","9211959"
"MA2026_framed_01","1005413"
"MA2026_framed_01","9210045"
"MA2026_framed_01","9214022"
"MA2026_framed_01","9208717"
"MA2026_framed_01","9241443"
"MA2026_framed_01","9211235"
"MA2026_framed_01","9197355"
"MA2026_framed_01","1005467"
"MA2026_framed_01","9235721"
"MA2026_framed_01","9249465"
"MA2026_framed_01","1005491"
"MA2026_framed_01","9260878"
"MA2026_framed_01","1005483"
"MA2026_framed_01","1005437"
"MA2026_framed_01","1005487"
"MA2026_framed_01","9215308"
"MA2026_framed_01","9218585"
"MA2026_framed_01","9217269"
"MA2026_framed_01","9232921"
"MA2026_framed_01","9049163"
"MA2026_framed_01","9208202"
"MA2026_framed_01","9236628"
"MA2026_framed_01","9211934"
"MA2026_framed_01","9215170"
"MA2026_framed_01","9248572"
"MA2026_framed_01","1005492"
"MA2026_framed_01","9212643"
"MA2026_framed_01","9049135"
"MA2026_framed_01","9222941"
"MA2026_framed_01","9049179"
"MA2026_framed_01","9049189"
"MA2026_framed_01","9209053"
"MA2026_framed_01","9229530"
"MA2026_framed_01","1005496"
"MA2026_framed_01","9221698"
"MA2026_framed_02","1005443"
"MA2026_framed_02","9048987"
"MA2026_framed_02","9048991"
"MA2026_framed_02","9218947"
"MA2026_framed_02","9221126"
"MA2026_framed_02","9197598"
"MA2026_framed_02","9256314"
"MA2026_framed_02","9246276"
"MA2026_framed_02","9207479"
"MA2026_framed_02","1005457"
"MA2026_framed_02","9049053"
"MA2026_framed_02","9239019"
"MA2026_framed_02","9221222"
"MA2026_framed_02","9214803"
"MA2026_framed_02","9049069"
"MA2026_framed_02","9221900"
"MA2026_framed_02","9207664"
"MA2026_framed_02","9210404"
"MA2026_framed_02","9251534"
"MA2026_framed_02","9208999"
"MA2026_framed_02","9049123"
"MA2026_framed_02","9217439"
"MA2026_framed_02","9049144"
"MA2026_framed_02","9197648"
"MA2026_framed_02","9208654"
"MA2026_framed_02","1005544"
"MA2026_framed_02","9049170"
"MA2026_framed_02","1005453"
"MA2026_framed_02","1005433"
"MA2026_framed_02","9252385"
"MA2026_framed_02","9240255"
"MA2026_framed_02","9207329"
"MA2026_framed_02","1005528"
"MA2026_framed_02","9215056"
"MA2026_framed_02","9049218"
"MA2026_framed_02","9049248"
"MA2026_framed_02","1005461"
"MA2026_framed_02","9220439"
"MA2026_framed_02","9211996"
"MA2026_framed_02","9250548"
"MA2026_framed_02","9261662"
"MA2026_framed_02","9210403"
"MA2026_framed_03","9048978"
"MA2026_framed_03","9253181"
"MA2026_framed_03","9048981"
"MA2026_framed_03","9258100"
"MA2026_framed_03","9197283"
"MA2026_framed_03","9214217"
"MA2026_framed_03","9049009"
"MA2026_framed_03","9238240"
"MA2026_framed_03","9049018"
"MA2026_framed_03","9231373"
"MA2026_framed_03","9234627"
"MA2026_framed_03","9217931"
"MA2026_framed_03","9210965"
"MA2026_framed_03","9049024"
"MA2026_framed_03","9233141"
"MA2026_framed_03","9049030"
"MA2026_framed_03","9255067"
"MA2026_framed_03","9049044"
"MA2026_framed_03","9256524"
"MA2026_framed_03","9264153"
"MA2026_framed_03","9215293"
"MA2026_framed_03","9213562"
"MA2026_framed_03","9212437"
"MA2026_framed_03","9223905"
"MA2026_framed_03","9218174"
"MA2026_framed_03","9195803"
"MA2026_framed_03","9212804"
"MA2026_framed_03","9220391"
"MA2026_framed_03","9245251"
"MA2026_framed_03","9210925"
"MA2026_framed_03","9221395"
"MA2026_framed_03","9196881"
"MA2026_framed_03","9210376"
"MA2026_framed_03","9215564"
"MA2026_framed_03","9232586"
"MA2026_framed_03","9216056"
"MA2026_framed_03","9049217"
"MA2026_framed_03","9049222"
"MA2026_framed_03","9049225"
"MA2026_framed_03","9049226"
"MA2026_framed_03","1005474"
"MA2026_framed_03","9049250"
"MA2026_framed_04","9049035"
"MA2026_framed_04","9221247"
"MA2026_framed_04","9195829"
"MA2026_framed_04","9218990"
"MA2026_framed_04","9213918"
"MA2026_framed_04","9214386"
"MA2026_framed_04","9220569"
"MA2026_framed_04","9049060"
"MA2026_framed_04","9216554"
"MA2026_framed_04","9215991"
"MA2026_framed_04","9049101"
"MA2026_framed_04","9235979"
"MA2026_framed_04","9049106"
"MA2026_framed_04","9236191"
"MA2026_framed_04","9214155"
"MA2026_framed_04","9227800"
"MA2026_framed_04","9245450"
"MA2026_framed_04","9212054"
"MA2026_framed_04","9224217"
"MA2026_framed_04","9242531"
"MA2026_framed_04","9049143"
"MA2026_framed_04","9049149"
"MA2026_framed_04","1005543"
"MA2026_framed_04","9226811"
"MA2026_framed_04","9049165"
"MA2026_framed_04","9210917"
"MA2026_framed_04","9049175"
"MA2026_framed_04","9218610"
"MA2026_framed_04","9245996"
"MA2026_framed_04","9216855"
"MA2026_framed_04","9242198"
"MA2026_framed_04","9211553"
"MA2026_framed_04","9049199"
"MA2026_framed_04","9197321"
"MA2026_framed_04","9196110"
"MA2026_framed_04","9225985"
"MA2026_framed_04","9211214"
"MA2026_framed_04","9213363"
"MA2026_framed_04","9196741"
"MA2026_framed_04","9252302"
"MA2026_framed_04","9236960"
"MA2026_framed_04","9212378"
"MA2026_framed_05","9215077"
"MA2026_framed_05","9211551"
"MA2026_framed_05","9216667"
"MA2026_framed_05","9048957"
"MA2026_framed_05","9048958"
"MA2026_framed_05","9048959"
"MA2026_framed_05","1005535"
"MA2026_framed_05","9209915"
"MA2026_framed_05","9048963"
"MA2026_framed_05","9218648"
"MA2026_framed_05","9048965"
"MA2026_framed_05","9243147"
"MA2026_framed_05","9211565"
"MA2026_framed_05","9207155"
"MA2026_framed_05","9048969"
"MA2026_framed_05","9048972"
"MA2026_framed_05","9214530"
"MA2026_framed_05","9242051"
"MA2026_framed_05","9215953"
"MA2026_framed_05","9212023"
"MA2026_framed_05","9234088"
"MA2026_framed_05","9048980"
"MA2026_framed_05","9211638"
"MA2026_framed_05","9220842"
"MA2026_framed_05","1005448"
"MA2026_framed_05","9048996"
"MA2026_framed_05","9208990"
"MA2026_framed_05","9049037"
"MA2026_framed_05","9241899"
"MA2026_framed_05","9240483"
"MA2026_framed_05","9207449"
"MA2026_framed_05","9217822"
"MA2026_framed_05","9223555"
"MA2026_framed_05","9049142"
"MA2026_framed_05","9212472"
"MA2026_framed_05","9225505"
"MA2026_framed_05","9226648"
"MA2026_framed_05","9213931"
"MA2026_framed_05","9211237"
"MA2026_framed_05","9211615"
"MA2026_framed_05","9258835"
"MA2026_framed_05","9208376"
"MA2026_framed_06","9048985"
"MA2026_framed_06","9261372"
"MA2026_framed_06","9216474"
"MA2026_framed_06","9248740"
"MA2026_framed_06","1005484"
"MA2026_framed_06","9048993"
"MA2026_framed_06","9230828"
"MA2026_framed_06","9217656"
"MA2026_framed_06","9220096"
"MA2026_framed_06","9211250"
"MA2026_framed_06","9049000"
"MA2026_framed_06","9212675"
"MA2026_framed_06","9218330"
"MA2026_framed_06","9049002"
"MA2026_framed_06","9049003"
"MA2026_framed_06","9226302"
"MA2026_framed_06","9049007"
"MA2026_framed_06","9049008"
"MA2026_framed_06","9213976"
"MA2026_framed_06","1005536"
"MA2026_framed_06","9252414"
"MA2026_framed_06","9208018"
"MA2026_framed_06","9226170"
"MA2026_framed_06","9219534"
"MA2026_framed_06","9217930"
"MA2026_framed_06","9237298"
"MA2026_framed_06","9049015"
"MA2026_framed_06","9261521"
"MA2026_framed_06","9209506"
"MA2026_framed_06","9049019"
"MA2026_framed_06","9238129"
"MA2026_framed_06","9216530"
"MA2026_framed_06","9220218"
"MA2026_framed_06","9049023"
"MA2026_framed_06","9210671"
"MA2026_framed_06","9213605"
"MA2026_framed_06","9049028"
"MA2026_framed_06","9049029"
"MA2026_framed_06","9261382"
"MA2026_framed_06","9049034"
"MA2026_framed_06","9231888"
"MA2026_framed_06","9221142"
"MA2026_framed_07","9261809"
"MA2026_framed_07","9049038"
"MA2026_framed_07","9049041"
"MA2026_framed_07","9207313"
"MA2026_framed_07","9221473"
"MA2026_framed_07","9262043"
"MA2026_framed_07","9211182"
"MA2026_framed_07","9220579"
"MA2026_framed_07","9214634"
"MA2026_framed_07","9215232"
"MA2026_framed_07","9260474"
"MA2026_framed_07","9049056"
"MA2026_framed_07","9261506"
"MA2026_framed_07","9049057"
"MA2026_framed_07","9049059"
"MA2026_framed_07","9216619"
"MA2026_framed_07","9214107"
"MA2026_framed_07","9207264"
"MA2026_framed_07","9049068"
"MA2026_framed_07","9212492"
"MA2026_framed_07","9049070"
"MA2026_framed_07","9243009"
"MA2026_framed_07","9211499"
"MA2026_framed_07","9220753"
"MA2026_framed_07","9211974"
"MA2026_framed_07","9215163"
"MA2026_framed_07","9241139"
"MA2026_framed_07","9259551"
"MA2026_framed_07","9230020"
"MA2026_framed_07","9216156"
"MA2026_framed_07","9256617"
"MA2026_framed_07","9215298"
"MA2026_framed_07","9213431"
"MA2026_framed_07","9208961"
"MA2026_framed_07","9217709"
"MA2026_framed_07","9049082"
"MA2026_framed_07","9213047"
"MA2026_framed_07","9256908"
"MA2026_framed_07","9049092"
"MA2026_framed_07","9223631"
"MA2026_framed_07","9228280"
"MA2026_framed_07","9049098"
"MA2026_framed_08","9049099"
"MA2026_framed_08","9207132"
"MA2026_framed_08","1005470"
"MA2026_framed_08","9237421"
"MA2026_framed_08","9224096"
"MA2026_framed_08","9209426"
"MA2026_framed_08","9260084"
"MA2026_framed_08","9218974"
"MA2026_framed_08","9230048"
"MA2026_framed_08","9212167"
"MA2026_framed_08","9207128"
"MA2026_framed_08","9216969"
"MA2026_framed_08","9212496"
"MA2026_framed_08","9213242"
"MA2026_framed_08","9049116"
"MA2026_framed_08","9049117"
"MA2026_framed_08","9217283"
"MA2026_framed_08","9049121"
"MA2026_framed_08","9049122"
"MA2026_framed_08","9049124"
"MA2026_framed_08","9244457"
"MA2026_framed_08","9049127"
"MA2026_framed_08","9210616"
"MA2026_framed_08","9049129"
"MA2026_framed_08","9233353"
"MA2026_framed_08","9215425"
"MA2026_framed_08","9216871"
"MA2026_framed_08","9234101"
"MA2026_framed_08","9211087"
"MA2026_framed_08","9262649"
"MA2026_framed_08","9241076"
"MA2026_framed_08","9209080"
"MA2026_framed_08","9231022"
"MA2026_framed_08","9213267"
"MA2026_framed_08","9211397"
"MA2026_framed_08","9049141"
"MA2026_framed_08","9216147"
"MA2026_framed_08","9209821"
"MA2026_framed_08","9197279"
"MA2026_framed_08","9209797"
"MA2026_framed_08","9214296"
"MA2026_framed_08","9256118"
"MA2026_framed_09","9234707"
"MA2026_framed_09","9257598"
"MA2026_framed_09","9253745"
"MA2026_framed_09","9197405"
"MA2026_framed_09","9218071"
"MA2026_framed_09","9212817"
"MA2026_framed_09","9217447"
"MA2026_framed_09","9049161"
"MA2026_framed_09","9230565"
"MA2026_framed_09","9252845"
"MA2026_framed_09","9207381"
"MA2026_framed_09","9261572"
"MA2026_framed_09","9049171"
"MA2026_framed_09","9216355"
"MA2026_framed_09","9254628"
"MA2026_framed_09","9242880"
"MA2026_framed_09","9049180"
"MA2026_framed_09","9216567"
"MA2026_framed_09","9216258"
"MA2026_framed_09","9214744"
"MA2026_framed_09","9215084"
"MA2026_framed_09","9220081"
"MA2026_framed_09","9221009"
"MA2026_framed_09","9217199"
"MA2026_framed_09","9212441"
"MA2026_framed_09","1005472"
"MA2026_framed_09","9254006"
"MA2026_framed_09","9212118"
"MA2026_framed_09","9212766"
"MA2026_framed_09","9249228"
"MA2026_framed_09","9211175"
"MA2026_framed_09","9222307"
"MA2026_framed_09","9237447"
"MA2026_framed_09","9246083"
"MA2026_framed_09","9214901"
"MA2026_framed_09","9216618"
"MA2026_framed_09","9248255"
"MA2026_framed_09","9258584"
"MA2026_framed_09","9209584"
"MA2026_framed_09","9212032"
"MA2026_framed_09","9210750"
"MA2026_framed_09","9049207"
"MA2026_framed_10","9231866"
"MA2026_framed_10","9049208"
"MA2026_framed_10","9212350"
"MA2026_framed_10","9215516"
"MA2026_framed_10","9217850"
"MA2026_framed_10","9220497"
"MA2026_framed_10","9210254"
"MA2026_framed_10","9215208"
