"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_framed_08","9049099","La Linea de la Concepcion,Andalusia,Spain","La Línea de la Concepción, Cádiz","Cádiz",0
"MA2026_framed_08","9207132","La Nou de Gaia,Catalonia,Spain","La Nou de Gaià, Tarragona","Tarragona",0
"MA2026_framed_08","1005470","La Palma d'Ebre,Catalonia,Spain","La Palma d'Ebre, Tarragona","Tarragona",0
"MA2026_framed_08","9237421","La Palma del Condado,Andalusia,Spain","La Palma del Condado, Huelva","Huelva",0
"MA2026_framed_08","9224096","La Pobla de Farnals,Valencian Community,Spain","La Pobla de Farnals, Valencia","Valencia",0
"MA2026_framed_08","9209426","La Pobla de Mafumet,Catalonia,Spain","La Pobla de Mafumet, Tarragona","Tarragona",0
"MA2026_framed_08","9260084","La Union,Region of Murcia,Spain","La Unión, Murcia","Murcia",0
"MA2026_framed_08","9218974","Lancara,Galicia,Spain","Láncara, Lugo","Lugo",0
"MA2026_framed_08","9230048","Las Gabias,Andalusia,Spain","Las Gabias, Granada","Granada",0
"MA2026_framed_08","9212167","Las Penas de Riglos,Aragon,Spain","Las Peñas de Riglos, Huesca","Huesca",0
"MA2026_framed_08","9207128","Lena,Asturias,Spain","Lena, Asturias","Asturias",0
"MA2026_framed_08","9216969","Les Borges del Camp,Catalonia,Spain","Les Borges del Camp, Tarragona","Tarragona",0
"MA2026_framed_08","9212496","Lloret de Vistalegre,Balearic Islands,Spain","Lloret de Vistalegre, Baleares","Baleares",0
"MA2026_framed_08","9213242","Lloseta,Balearic Islands,Spain","Lloseta, Baleares","Baleares",0
"MA2026_framed_08","9049116","Loja,Andalusia,Spain","Loja, Granada","Granada",0
"MA2026_framed_08","9049117","Lora del Rio,Andalusia,Spain","Lora del Río, Sevilla","Sevilla",0
"MA2026_framed_08","9217283","Los Altos,Castile and Leon,Spain","Los Altos, Burgos","Burgos",0
"MA2026_framed_08","9049121","Lucena,Andalusia,Spain","Lucena, Córdoba","Córdoba",0
"MA2026_framed_08","9049122","Mairena del Alcor,Andalusia,Spain","Mairena del Alcor, Sevilla","Sevilla",0
"MA2026_framed_08","9049124","Mancha Real,Andalusia,Spain","Mancha Real, Jaén","Jaén",0
"MA2026_framed_08","9244457","Marchamalo,Castile-La Mancha,Spain","Marchamalo, Guadalajara","Guadalajara",0
"MA2026_framed_08","9049127","Marchena,Andalusia,Spain","Marchena, Sevilla","Sevilla",0
"MA2026_framed_08","9210616","Maruri-Jatabe,Basque Country,Spain","Maruri-Jatabe, Vizcaya","Vizcaya",0
"MA2026_framed_08","9049129","Masquefa,Catalonia,Spain","Masquefa, Barcelona","Barcelona",0
"MA2026_framed_08","9233353","Matadepera,Catalonia,Spain","Matadepera, Barcelona","Barcelona",0
"MA2026_framed_08","9215425","Mazaricos,Galicia,Spain","Mazaricos, A Coruña","A Coruña",0
"MA2026_framed_08","9216871","Medina de Pomar,Castile and Leon,Spain","Medina de Pomar, Burgos","Burgos",0
"MA2026_framed_08","9234101","Mengibar,Andalusia,Spain","Mengíbar, Jaén","Jaén",0
"MA2026_framed_08","9211087","Mino,Galicia,Spain","Miño, A Coruña","A Coruña",0
"MA2026_framed_08","9262649","Miraflores de la Sierra,Community of Madrid,Spain","Miraflores de la Sierra, Madrid","Madrid",0
"MA2026_framed_08","9241076","Mocejon,Castile-La Mancha,Spain","Mocejón, Toledo","Toledo",0
"MA2026_framed_08","9209080","Mont-ral,Catalonia,Spain","Mont-ral, Tarragona","Tarragona",0
"MA2026_framed_08","9231022","Mont-ras,Catalonia,Spain","Mont-ras, Girona","Girona",0
"MA2026_framed_08","9213267","Montbrio del Camp,Catalonia,Spain","Montbrió del Camp, Tarragona","Tarragona",0
"MA2026_framed_08","9211397","Montferri,Catalonia,Spain","Montferri, Tarragona","Tarragona",0
"MA2026_framed_08","9049141","Montilla,Andalusia,Spain","Montilla, Córdoba","Córdoba",0
"MA2026_framed_08","9216147","Morcin,Asturias,Spain","Morcín, Asturias","Asturias",0
"MA2026_framed_08","9209821","Muras,Galicia,Spain","Muras, Lugo","Lugo",0
"MA2026_framed_08","9197279","Nerja,Andalusia,Spain","Nerja, Málaga","Málaga",0
"MA2026_framed_08","9209797","Nijar,Andalusia,Spain","Níjar, Almería","Almería",0
"MA2026_framed_08","9214296","Noia,Galicia,Spain","Noia, A Coruña","A Coruña",0
"MA2026_framed_08","9256118","Noja,Cantabria,Spain","Noja, Cantabria","Cantabria",0
