"Campaign","Location ID","Location","unit_name","province","median_pre_participants"
"MA2026_neutral_09","9220777","Olvega,Castile and Leon,Spain","Ólvega, Soria","Soria",0
"MA2026_neutral_09","9252807","Onati,Basque Country,Spain","Oñati, Guipúzcoa","Guipúzcoa",0
"MA2026_neutral_09","9049154","Ondarroa,Basque Country,Spain","Ondarroa, Vizcaya","Vizcaya",0
"MA2026_neutral_09","9212292","Orba,Valencian Community,Spain","Orba, Alicante","Alicante",0
"MA2026_neutral_09","9234141","Oroso,Galicia,Spain","Oroso, A Coruña","A Coruña",0
"MA2026_neutral_09","9250482","Paiporta,Valencian Community,Spain","Paiporta, Valencia","Valencia",0
"MA2026_neutral_09","9237970","Palazuelos de Eresma,Castile and Leon,Spain","Palazuelos de Eresma, Segovia","Segovia",0
"MA2026_neutral_09","9049160","Palencia,Castile and Leon,Spain","Palencia, Palencia","Palencia",0
"MA2026_neutral_09","9245685","Palomares del Rio,Andalusia,Spain","Palomares del Río, Sevilla","Sevilla",0
"MA2026_neutral_09","9250789","Pals,Catalonia,Spain","Pals, Girona","Girona",0
"MA2026_neutral_09","9049162","Paracuellos de Jarama,Community of Madrid,Spain","Paracuellos de Jarama, Madrid","Madrid",0
"MA2026_neutral_09","9210217","Petra,Balearic Islands,Spain","Petra, Baleares","Baleares",0
"MA2026_neutral_09","9215858","Pol,Galicia,Spain","Pol, Lugo","Lugo",0
"MA2026_neutral_09","9222199","Porreres,Balearic Islands,Spain","Porreres, Baleares","Baleares",0
"MA2026_neutral_09","9214713","Portomarin,Galicia,Spain","Portomarín, Lugo","Lugo",0
"MA2026_neutral_09","9232835","Potes,Cantabria,Spain","Potes, Cantabria","Cantabria",0
"MA2026_neutral_09","9220902","Puebla de Lillo,Castile and Leon,Spain","Puebla de Lillo, León","León",0
"MA2026_neutral_09","9210297","Puente Genil,Andalusia,Spain","Puente Genil, Córdoba","Córdoba",0
"MA2026_neutral_09","9218410","Puigcerda,Catalonia,Spain","Puigcerdà, Girona","Girona",0
"MA2026_neutral_09","9217865","Quesada,Andalusia,Spain","Quesada, Jaén","Jaén",0
"MA2026_neutral_09","9244210","Redovan,Valencian Community,Spain","Redován, Alicante","Alicante",0
"MA2026_neutral_09","9229871","Reinosa,Cantabria,Spain","Reinosa, Cantabria","Cantabria",0
"MA2026_neutral_09","9221652","Renau,Catalonia,Spain","Renau, Tarragona","Tarragona",0
"MA2026_neutral_09","9224711","Ribadeo,Galicia,Spain","Ribadeo, Lugo","Lugo",0
"MA2026_neutral_09","1005405","Rioja,Andalusia,Spain","Rioja, Almería","Almería",0
"MA2026_neutral_09","9207229","Salas,Asturias,Spain","Salas, Asturias","Asturias",0
"MA2026_neutral_09","9213493","Salvador de Zapardiel,Castile and Leon,Spain","Salvador de Zapardiel, Valladolid","Valladolid",0
"MA2026_neutral_09","9210994","Samos,Galicia,Spain","Samos, Lugo","Lugo",0
"MA2026_neutral_09","9214001","San Bartolome,Canary Islands,Spain","San Bartolomé, Las Palmas","Las Palmas",0
"MA2026_neutral_09","9243701","San Fernando de Henares,Community of Madrid,Spain","San Fernando de Henares, Madrid","Madrid",0
"MA2026_neutral_09","9218471","San Isidro,Valencian Community,Spain","San Isidro, Alicante","Alicante",0
"MA2026_neutral_09","9217316","San Martin del Rey Aurelio,Asturias,Spain","San Martín del Rey Aurelio, Asturias","Asturias",0
"MA2026_neutral_09","9208006","Sandias,Galicia,Spain","Sandiás, Ourense","Ourense",0
"MA2026_neutral_09","9210874","Municipality of Sant Adria de Besos,Catalonia,Spain","Sant Adrià de Besòs, Barcelona","Barcelona",0
"MA2026_neutral_09","9210293","Sant Joan,Balearic Islands,Spain","Sant Joan, Baleares","Baleares",0
"MA2026_neutral_09","9214231","Sant Llorenc des Cardassar,Balearic Islands,Spain","Sant Llorenç des Cardassar, Baleares","Baleares",0
"MA2026_neutral_09","1005473","Santa Barbara,Catalonia,Spain","Santa Bàrbara, Tarragona","Tarragona",0
"MA2026_neutral_09","9213147","Santa Eugenia,Balearic Islands,Spain","Santa Eugènia, Baleares","Baleares",0
"MA2026_neutral_09","9261657","Santa Maria de Palautordera,Catalonia,Spain","Santa Maria de Palautordera, Barcelona","Barcelona",0
"MA2026_neutral_09","9219456","Municipality of Santa Perpetua de Mogoda,Catalonia,Spain","Santa Perpètua de Mogoda, Barcelona","Barcelona",0
"MA2026_neutral_09","9257314","Santiago del Teide,Canary Islands,Spain","Santiago del Teide, Santa Cruz de Tenerife","Santa Cruz de Tenerife",0
"MA2026_neutral_09","9049206","Santomera,Region of Murcia,Spain","Santomera, Murcia","Murcia",0
