"delta","sigma_c","observed_diff","power"
0,0.3,0,0.033
0.05,0.3,0.0465149424856117,0.277
0.1,0.3,0.0930298849712234,0.801
0.15,0.3,0.139544827456835,0.978
0.2,0.3,0.186059769942447,1
0.3,0.3,0.27908965491367,1
0,0.4,0,0.034
0.05,0.4,0.0465149424856117,0.232
0.1,0.4,0.0930298849712234,0.665
0.15,0.4,0.139544827456835,0.917
0.2,0.4,0.186059769942447,0.992
0.3,0.4,0.27908965491367,1
0,0.6,0,0.046
0.05,0.6,0.0465149424856117,0.115
0.1,0.6,0.0930298849712234,0.375
0.15,0.6,0.139544827456835,0.721
0.2,0.6,0.186059769942447,0.933
0.3,0.6,0.27908965491367,0.999
