"unit_name","municipality","province","autonomous_community","google_criteria_id","google_name","google_canonical_name","google_target_type","match_type"
"A Arnoia, Ourense","A Arnoia","Ourense","Galicia",NA,NA,NA,NA,"unmatched"
"A Baña, A Coruña","A Baña","A Coruña","Galicia",NA,NA,NA,NA,"unmatched"
"A Bola, Ourense","A Bola","Ourense","Galicia",NA,NA,NA,NA,"unmatched"
"A Capela, A Coruña","A Capela","A Coruña","Galicia",NA,NA,NA,NA,"unmatched"
"A Cañiza, Pontevedra","A Cañiza","Pontevedra","Galicia",NA,NA,NA,NA,"unmatched"
"A Coruña, A Coruña","A Coruña","A Coruña","Galicia","9212542","A Coruna","A Coruna,Galicia,Spain","Municipality","name+community"
"A Estrada, Pontevedra","A Estrada","Pontevedra","Galicia","9215077","A Estrada","A Estrada,Galicia,Spain","Municipality","name+community"
"A Fonsagrada, Lugo","A Fonsagrada","Lugo","Galicia","9215072","A Fonsagrada","A Fonsagrada,Galicia,Spain","Municipality","name+community"
"A Guarda, Pontevedra","A Guarda","Pontevedra","Galicia",NA,NA,NA,NA,"unmatched"
"A Gudiña, Ourense","A Gudiña","Ourense","Galicia",NA,NA,NA,NA,"unmatched"
"A Illa de Arousa, Pontevedra","A Illa de Arousa","Pontevedra","Galicia",NA,NA,NA,NA,"unmatched"
"A Lama, Pontevedra","A Lama","Pontevedra","Galicia","9218074","A Lama","A Lama,Galicia,Spain","Municipality","name+community"
"A Laracha, A Coruña","A Laracha","A Coruña","Galicia","9217126","A Laracha","A Laracha,Galicia,Spain","Municipality","name+community"
"A Merca, Ourense","A Merca","Ourense","Galicia",NA,NA,NA,NA,"unmatched"
"A Mezquita, Ourense","A Mezquita","Ourense","Galicia",NA,NA,NA,NA,"unmatched"
"A Pastoriza, Lugo","A Pastoriza","Lugo","Galicia",NA,NA,NA,NA,"unmatched"
"A Peroxa, Ourense","A Peroxa","Ourense","Galicia",NA,NA,NA,NA,"unmatched"
"A Pobra de Trives, Ourense","A Pobra de Trives","Ourense","Galicia",NA,NA,NA,NA,"unmatched"
"A Pobra do Brollón, Lugo","A Pobra do Brollón","Lugo","Galicia","9219424","A Pobra do Brollon","A Pobra do Brollon,Galicia,Spain","Municipality","name+community"
"A Pobra do Caramiñal, A Coruña","A Pobra do Caramiñal","A Coruña","Galicia","9211551","A Pobra do Caraminal","A Pobra do Caraminal,Galicia,Spain","Municipality","name+community"
"A Pontenova, Lugo","A Pontenova","Lugo","Galicia",NA,NA,NA,NA,"unmatched"
"A Rúa, Ourense","A Rúa","Ourense","Galicia",NA,NA,NA,NA,"unmatched"
"A Teixeira, Ourense","A Teixeira","Ourense","Galicia",NA,NA,NA,NA,"unmatched"
"A Veiga, Ourense","A Veiga","Ourense","Galicia","9216667","A Veiga","A Veiga,Galicia,Spain","Municipality","name+community"
"Ababuj, Teruel","Ababuj","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Abades, Segovia","Abades","Segovia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Abadiño, Vizcaya","Abadiño","Vizcaya","País Vasco",NA,NA,NA,NA,"unmatched"
"Abadía, Cáceres","Abadía","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Abadín, Lugo","Abadín","Lugo","Galicia",NA,NA,NA,NA,"unmatched"
"Abajas, Burgos","Abajas","Burgos","Castilla y León",NA,NA,NA,NA,"unmatched"
"Abaltzisketa, Guipúzcoa","Abaltzisketa","Guipúzcoa","País Vasco",NA,NA,NA,NA,"unmatched"
"Abanilla, Murcia","Abanilla","Murcia","Región de Murcia",NA,NA,NA,NA,"unmatched"
"Abanto y Ciérvana-Abanto Zierben, Vizcaya","Abanto y Ciérvana-Abanto Zierben","Vizcaya","País Vasco",NA,NA,NA,NA,"unmatched"
"Abanto, Zaragoza","Abanto","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Abarca de Campos, Palencia","Abarca de Campos","Palencia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Abarán, Murcia","Abarán","Murcia","Región de Murcia",NA,NA,NA,NA,"unmatched"
"Abaurregaina, Navarra","Abaurregaina","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Abaurrepea, Navarra","Abaurrepea","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Abegondo, A Coruña","Abegondo","A Coruña","Galicia","9211455","Abegondo","Abegondo,Galicia,Spain","Municipality","name+community"
"Abejar, Soria","Abejar","Soria","Castilla y León",NA,NA,NA,NA,"unmatched"
"Abejuela, Teruel","Abejuela","Teruel","Aragón",NA,NA,NA,NA,"unmatched"
"Abella de la Conca, Lleida","Abella de la Conca","Lleida","Cataluña",NA,NA,NA,NA,"unmatched"
"Abengibre, Albacete","Abengibre","Albacete","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Abenójar, Ciudad Real","Abenójar","Ciudad Real","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Aberin, Navarra","Aberin","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Abertura, Cáceres","Abertura","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Abezames, Zamora","Abezames","Zamora","Castilla y León",NA,NA,NA,NA,"unmatched"
"Abia de la Obispalía, Cuenca","Abia de la Obispalía","Cuenca","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Abia de las Torres, Palencia","Abia de las Torres","Palencia","Castilla y León",NA,NA,NA,NA,"unmatched"
"Abiego, Huesca","Abiego","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Abizanda, Huesca","Abizanda","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Abla, Almería","Abla","Almería","Andalucía",NA,NA,NA,NA,"unmatched"
"Ablanque, Guadalajara","Ablanque","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Ablitas, Navarra","Ablitas","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Abrera, Barcelona","Abrera","Barcelona","Cataluña",NA,NA,NA,NA,"unmatched"
"Abrucena, Almería","Abrucena","Almería","Andalucía",NA,NA,NA,NA,"unmatched"
"Abusejo, Salamanca","Abusejo","Salamanca","Castilla y León",NA,NA,NA,NA,"unmatched"
"Abáigar, Navarra","Abáigar","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Abánades, Guadalajara","Abánades","Guadalajara","Castilla-La Mancha",NA,NA,NA,NA,"unmatched"
"Abárzuza, Navarra","Abárzuza","Navarra","Comunidad Foral de Navarra",NA,NA,NA,NA,"unmatched"
"Acebedo, León","Acebedo","León","Castilla y León",NA,NA,NA,NA,"unmatched"
"Acebo, Cáceres","Acebo","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Acedera, Badajoz","Acedera","Badajoz","Extremadura",NA,NA,NA,NA,"unmatched"
"Acehúche, Cáceres","Acehúche","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Aceituna, Cáceres","Aceituna","Cáceres","Extremadura",NA,NA,NA,NA,"unmatched"
"Acered, Zaragoza","Acered","Zaragoza","Aragón",NA,NA,NA,NA,"unmatched"
"Aceuchal, Badajoz","Aceuchal","Badajoz","Extremadura",NA,NA,NA,NA,"unmatched"
"Adahuesca, Huesca","Adahuesca","Huesca","Aragón",NA,NA,NA,NA,"unmatched"
"Adalia, Valladolid","Adalia","Valladolid","Castilla y León",NA,NA,NA,NA,"unmatched"
"Adamuz, Córdoba","Adamuz","Córdoba","Andalucía",NA,NA,NA,NA,"unmatched"
"Adanero, Ávila","Adanero","Ávila","Castilla y León",NA,NA,NA,NA,"unmatched"
