"unit_name","province","google_criteria_id","google_name","google_canonical_name","google_target_type"
"A Coruña, A Coruña","A Coruña","9212542","A Coruna","A Coruna,Galicia,Spain","Municipality"
"A Estrada, Pontevedra","Pontevedra","9215077","A Estrada","A Estrada,Galicia,Spain","Municipality"
"A Fonsagrada, Lugo","Lugo","9215072","A Fonsagrada","A Fonsagrada,Galicia,Spain","Municipality"
"A Lama, Pontevedra","Pontevedra","9218074","A Lama","A Lama,Galicia,Spain","Municipality"
"A Laracha, A Coruña","A Coruña","9217126","A Laracha","A Laracha,Galicia,Spain","Municipality"
"A Pobra do Brollón, Lugo","Lugo","9219424","A Pobra do Brollon","A Pobra do Brollon,Galicia,Spain","Municipality"
"A Pobra do Caramiñal, A Coruña","A Coruña","9211551","A Pobra do Caraminal","A Pobra do Caraminal,Galicia,Spain","Municipality"
"A Veiga, Ourense","Ourense","9216667","A Veiga","A Veiga,Galicia,Spain","Municipality"
"Abegondo, A Coruña","A Coruña","9211455","Abegondo","Abegondo,Galicia,Spain","Municipality"
"Adeje, Santa Cruz de Tenerife","Santa Cruz de Tenerife","9048956","Adeje","Adeje,Canary Islands,Spain","City"
"Adra, Almería","Almería","9048957","Adra","Adra,Andalusia,Spain","City"
"Aguadulce, Sevilla","Sevilla","9048958","Aguadulce","Aguadulce,Andalusia,Spain","City"
"Aguilar de la Frontera, Córdoba","Córdoba","9257440","Aguilar de la Frontera","Aguilar de la Frontera,Andalusia,Spain","Municipality"
"Agullent, Valencia","Valencia","1005535","Agullent","Agullent,Valencian Community,Spain","City"
"Ajalvir, Madrid","Madrid","1005486","Ajalvir","Ajalvir,Community of Madrid,Spain","City"
"Alaior, Baleares","Baleares","9209628","Alaior","Alaior,Balearic Islands,Spain","Municipality"
"Alaquàs, Valencia","Valencia","9235468","Alaquas","Alaquas,Valencian Community,Spain","Municipality"
"Alaró, Baleares","Baleares","9211756","Alaro","Alaro,Balearic Islands,Spain","Municipality"
"Albacete, Albacete","Albacete","9212825","Municipality of Albacete","Municipality of Albacete,Castile-La Mancha,Spain","Municipality"
"Albal, Valencia","Valencia","9233578","Albal","Albal,Valencian Community,Spain","Municipality"
"Albalat dels Sorells, Valencia","Valencia","9250807","Albalat dels Sorells","Albalat dels Sorells,Valencian Community,Spain","Municipality"
"Albatera, Alicante","Alicante","9232058","Albatera","Albatera,Valencian Community,Spain","Municipality"
"Albinyana, Tarragona","Tarragona","9209915","Albinyana","Albinyana,Catalonia,Spain","Municipality"
"Alboraya, Valencia","Valencia","9048962","Alboraya","Alboraya,Valencian Community,Spain","City"
"Alburquerque, Badajoz","Badajoz","9048963","Alburquerque","Alburquerque,Extremadura,Spain","City"
"Alcalá de Guadaíra, Sevilla","Sevilla","9048964","Alcala de Guadaira","Alcala de Guadaira,Andalusia,Spain","City"
"Alcalá de Henares, Madrid","Madrid","1005487","Alcala de Henares","Alcala de Henares,Community of Madrid,Spain","City"
"Alcalá del Río, Sevilla","Sevilla","9218648","Alcala del Rio","Alcala del Rio,Andalusia,Spain","Municipality"
"Alcalá la Real, Jaén","Jaén","1005406","Alcala la Real","Alcala la Real,Andalusia,Spain","City"
"Alcantarilla, Murcia","Murcia","9048966","Alcantarilla","Alcantarilla,Region of Murcia,Spain","City"
"Alcañiz, Teruel","Teruel","9048965","Alcaniz","Alcaniz,Aragon,Spain","City"
"Alcobendas, Madrid","Madrid","1005488","Alcobendas","Alcobendas,Community of Madrid,Spain","City"
"Alcolea del Pinar, Guadalajara","Guadalajara","9222774","Alcolea del Pinar","Alcolea del Pinar,Castile-La Mancha,Spain","Municipality"
"Alcorcón, Madrid","Madrid","9248073","Alcorcon","Alcorcon,Community of Madrid,Spain","Municipality"
"Alcover, Tarragona","Tarragona","9211565","Alcover","Alcover,Catalonia,Spain","Municipality"
"Alcàsser, Valencia","Valencia","9243147","Alcasser","Alcasser,Valencian Community,Spain","Municipality"
"Alcázar de San Juan, Ciudad Real","Ciudad Real","9048967","Alcazar de San Juan","Alcazar de San Juan,Castile-La Mancha,Spain","City"
"Alcóntar, Almería","Almería","9219347","Alcontar","Alcontar,Andalusia,Spain","Municipality"
"Alcúdia, Baleares","Baleares","9207155","Alcudia","Alcudia,Balearic Islands,Spain","Municipality"
"Aldaia, Valencia","Valencia","9247183","Aldaia","Aldaia,Valencian Community,Spain","City"
"Alfafar, Valencia","Valencia","9256364","Alfafar","Alfafar,Valencian Community,Spain","Municipality"
"Alfaro, La Rioja","La Rioja","9048969","Alfaro","Alfaro,La Rioja,Spain","City"
"Algaida, Baleares","Baleares","9212004","Algaida","Algaida,Balearic Islands,Spain","Municipality"
"Algeciras, Cádiz","Cádiz","1005443","Algeciras","Algeciras,Andalusia,Spain","City"
"Algemesí, Valencia","Valencia","9249465","Algemesi","Algemesi,Valencian Community,Spain","Municipality"
"Algete, Madrid","Madrid","9048971","Algete","Algete,Community of Madrid,Spain","City"
"Alginet, Valencia","Valencia","9048972","Alginet","Alginet,Valencian Community,Spain","City"
"Alhama de Murcia, Murcia","Murcia","9214530","Alhama de Murcia","Alhama de Murcia,Region of Murcia,Spain","Municipality"
"Alhaurín de la Torre, Málaga","Málaga","9048974","Alhaurin de la Torre","Alhaurin de la Torre,Andalusia,Spain","City"
"Alhaurín el Grande, Málaga","Málaga","9048975","Alhaurin el Grande","Alhaurin el Grande,Andalusia,Spain","City"
"Alhendín, Granada","Granada","9242051","Alhendin","Alhendin,Andalusia,Spain","Municipality"
"Aliaga, Teruel","Teruel","9215953","Aliaga","Aliaga,Aragon,Spain","Municipality"
"Alicante, Alicante","Alicante","9221630","Municipality of Alicante","Municipality of Alicante,Valencian Community,Spain","Municipality"
"Alió, Tarragona","Tarragona","9213655","Alio","Alio,Catalonia,Spain","Municipality"
"Aljaraque, Huelva","Huelva","9220010","Aljaraque","Aljaraque,Andalusia,Spain","Municipality"
"Aller, Asturias","Asturias","9212023","Aller","Aller,Asturias,Spain","Municipality"
"Almagro, Ciudad Real","Ciudad Real","9214073","Almagro","Almagro,Castile-La Mancha,Spain","Municipality"
"Almansa, Albacete","Albacete","9048976","Almansa","Almansa,Castile-La Mancha,Spain","City"
"Almenara, Castellón","Castellón","9221675","Almenara","Almenara,Valencian Community,Spain","Municipality"
"Almendralejo, Badajoz","Badajoz","9048977","Almendralejo","Almendralejo,Extremadura,Spain","City"
"Almería, Almería","Almería","9214022","Municipality of Almeria","Municipality of Almeria,Andalusia,Spain","Municipality"
"Almonaster la Real, Huelva","Huelva","9216587","Almonaster la Real","Almonaster la Real,Andalusia,Spain","Municipality"
"Almonte, Huelva","Huelva","9048978","Almonte","Almonte,Andalusia,Spain","City"
"Almoradí, Alicante","Alicante","9228011","Almoradi","Almoradi,Valencian Community,Spain","Municipality"
"Almussafes, Valencia","Valencia","9250409","Almussafes","Almussafes,Valencian Community,Spain","Municipality"
"Almuñécar, Granada","Granada","9250734","Almunecar","Almunecar,Andalusia,Spain","Municipality"
"Alpedrete, Madrid","Madrid","9253181","Alpedrete","Alpedrete,Community of Madrid,Spain","City"
"Alpicat, Lleida","Lleida","9234088","Alpicat","Alpicat,Catalonia,Spain","Municipality"
"Altafulla, Tarragona","Tarragona","9208739","Altafulla","Altafulla,Catalonia,Spain","Municipality"
"Altea, Alicante","Alicante","9048980","Altea","Altea,Valencian Community,Spain","City"
"Alzira, Valencia","Valencia","9048981","Alzira","Alzira,Valencian Community,Spain","City"
"Ames, A Coruña","A Coruña","9211638","Ames","Ames,Galicia,Spain","Municipality"
"Amorebieta-Etxano, Vizcaya","Vizcaya","9214529","Amorebieta-Etxano","Amorebieta-Etxano,Basque Country,Spain","Municipality"
"Amposta, Tarragona","Tarragona","9220842","Amposta","Amposta,Catalonia,Spain","Municipality"
"Amurrio, Álava","Álava","9216537","Amurrio","Amurrio,Basque Country,Spain","Municipality"
"Andoain, Guipúzcoa","Guipúzcoa","9258100","Andoain","Andoain,Basque Country,Spain","Municipality"
"Andratx, Baleares","Baleares","9220433","Andratx","Andratx,Balearic Islands,Spain","Municipality"
"Andújar, Jaén","Jaén","9048985","Andujar","Andujar,Andalusia,Spain","City"
"Anglès, Girona","Girona","9243882","Angles","Angles,Catalonia,Spain","Municipality"
"Antas de Ulla, Lugo","Lugo","9210369","Antas de Ulla","Antas de Ulla,Galicia,Spain","Municipality"
"Antequera, Málaga","Málaga","9196308","Antequera","Antequera,Andalusia,Spain","City"
"Arahal, Sevilla","Sevilla","9261372","Arahal","Arahal,Andalusia,Spain","Municipality"
"Aranda de Duero, Burgos","Burgos","1005448","Aranda de Duero","Aranda de Duero,Castile and Leon,Spain","City"
"Aranjuez, Madrid","Madrid","9048987","Aranjuez","Aranjuez,Community of Madrid,Spain","City"
"Arboleas, Almería","Almería","9048988","Arboleas","Arboleas,Andalusia,Spain","City"
"Archena, Murcia","Murcia","9048989","Archena","Archena,Region of Murcia,Spain","City"
"Arcos de la Frontera, Cádiz","Cádiz","9048990","Arcos de la Frontera","Arcos de la Frontera,Andalusia,Spain","City"
"Arenas de Iguña, Cantabria","Cantabria","9216474","Arenas de Iguna","Arenas de Iguna,Cantabria,Spain","Municipality"
"Arenys de Mar, Barcelona","Barcelona","9197283","Arenys de Mar","Arenys de Mar,Catalonia,Spain","City"
"Arganda del Rey, Madrid","Madrid","9048991","Arganda del Rey","Arganda del Rey,Community of Madrid,Spain","City"
