"unit_name","gid_4","province","area_km2","cells_centroid","cells_interior","interior_frac","nearest_targetable_km","n_touching"
"Alcóntar, Almería","ESP.1.1.1.3_1","Almería",94.053,16,5,0.3125,0,3
"Arboleas, Almería","ESP.1.1.1.4_1","Almería",66.234,11,3,0.2727,1.0049,0
"Macael, Almería","ESP.1.1.1.14_1","Almería",43.828,7,1,0.1429,9.8915,0
"Serón, Almería","ESP.1.1.1.19_1","Almería",166.452,27,13,0.4815,0,3
"Almería, Almería","ESP.1.1.5.1_1","Almería",297.338,48,23,0.4792,0,1
"Níjar, Almería","ESP.1.1.5.6_1","Almería",601.569,100,67,0.67,0,1
"Rioja, Almería","ESP.1.1.5.8_1","Almería",36.35,7,1,0.1429,3.8435,0
"Adra, Almería","ESP.1.1.6.1_1","Almería",89.965,15,6,0.4,2.3439,0
"El Ejido, Almería","ESP.1.1.6.4_1","Almería",224.702,38,21,0.5526,0,1
"Roquetas de Mar, Almería","ESP.1.1.6.8_1","Almería",59.908,8,2,0.25,0,1
"Huércal-Overa, Almería","ESP.1.1.7.5_1","Almería",316.889,49,34,0.6939,0,1
"Mojácar, Almería","ESP.1.1.7.7_1","Almería",70.818,10,3,0.3,0,2
"Turre, Almería","ESP.1.1.7.9_1","Almería",107.826,19,5,0.2632,0,2
"Vera, Almería","ESP.1.1.7.10_1","Almería",57.601,11,3,0.2727,0,2
"Vélez-Blanco, Almería","ESP.1.1.8.3_1","Almería",440.929,73,46,0.6301,0,2
"Cádiz, Cádiz","ESP.1.2.1.1_1","Cádiz",12.3,2,0,0,0,1
"Chiclana de la Frontera, Cádiz","ESP.1.2.1.2_1","Cádiz",203.919,32,19,0.5938,0,3
"El Puerto de Santa María, Cádiz","ESP.1.2.1.3_1","Cádiz",158.629,28,10,0.3571,0,4
"Puerto Real, Cádiz","ESP.1.2.1.4_1","Cádiz",195.514,29,15,0.5172,0,4
"San Fernando, Cádiz","ESP.1.2.1.5_1","Cádiz",28.083,4,0,0,0,3
"Algeciras, Cádiz","ESP.1.2.3.1_1","Cádiz",87.001,15,6,0.4,0,2
"La Línea de la Concepción, Cádiz","ESP.1.2.3.4_1","Cádiz",18.537,2,0,0,0,1
"Los Barrios, Cádiz","ESP.1.2.3.5_1","Cádiz",331.35,54,31,0.5741,0,3
"San Roque, Cádiz","ESP.1.2.3.6_1","Cádiz",146.222,23,9,0.3913,0,3
"Tarifa, Cádiz","ESP.1.2.3.7_1","Cádiz",418.647,68,41,0.6029,0,3
"Chipiona, Cádiz","ESP.1.2.4.1_1","Cádiz",32.575,5,1,0.2,0,2
"Rota, Cádiz","ESP.1.2.4.2_1","Cádiz",83.973,13,5,0.3846,0,3
"Sanlúcar de Barrameda, Cádiz","ESP.1.2.4.3_1","Cádiz",170.734,28,13,0.4643,0,5
"Barbate, Cádiz","ESP.1.2.5.2_1","Cádiz",143.136,24,6,0.25,0,1
"Benalup-Casas Viejas, Cádiz","ESP.1.2.5.3_1","Cádiz",58.515,10,1,0.1,3.2914,0
"Conil de la Frontera, Cádiz","ESP.1.2.5.4_1","Cádiz",87.335,14,3,0.2143,0,1
"Arcos de la Frontera, Cádiz","ESP.1.2.6.4_1","Cádiz",527.099,84,60,0.7143,0,3
"Olvera, Cádiz","ESP.1.2.6.12_1","Cádiz",193.439,30,12,0.4,0,2
"Ubrique, Cádiz","ESP.1.2.6.17_1","Cádiz",69.562,10,4,0.4,0,2
"Aguilar de la Frontera, Córdoba","ESP.1.3.1.1_1","Córdoba",167.139,25,10,0.4,0,3
"Montilla, Córdoba","ESP.1.3.1.6_1","Córdoba",168.605,26,16,0.6154,0,2
