"unit_name","neighbour_name","distance_km"
"A Coruña, A Coruña","Arteixo, A Coruña",0
"A Coruña, A Coruña","Culleredo, A Coruña",0
"A Coruña, A Coruña","Oleiros, A Coruña",0.1282
"A Coruña, A Coruña","Cambre, A Coruña",1.4709
"A Coruña, A Coruña","Sada, A Coruña",5.5353
"A Coruña, A Coruña","A Laracha, A Coruña",6.172
"A Coruña, A Coruña","Abegondo, A Coruña",8.5703
"A Coruña, A Coruña","Ferrol, A Coruña",8.9118
"A Estrada, Pontevedra","Teo, A Coruña",0
"A Estrada, Pontevedra","Vedra, A Coruña",0
"A Estrada, Pontevedra","Campo Lameiro, Pontevedra",0
"A Estrada, Pontevedra","Cuntis, Pontevedra",0
"A Estrada, Pontevedra","Silleda, Pontevedra",0
"A Estrada, Pontevedra","Santiago de Compostela, A Coruña",7.5364
"A Estrada, Pontevedra","Ames, A Coruña",8.7603
"A Estrada, Pontevedra","Vilagarcía de Arousa, Pontevedra",9.4986
"A Fonsagrada, Lugo","Villanueva de Oscos, Asturias",0.2381
"A Fonsagrada, Lugo","Becerreá, Lugo",0.9156
"A Fonsagrada, Lugo","Meira, Lugo",1.9441
"A Fonsagrada, Lugo","Pol, Lugo",3.9322
"A Fonsagrada, Lugo","Castroverde, Lugo",6.7742
"A Lama, Pontevedra","Campo Lameiro, Pontevedra",7.1682
"A Lama, Pontevedra","Pontevedra, Pontevedra",7.8438
"A Laracha, A Coruña","Arteixo, A Coruña",0
"A Laracha, A Coruña","Carballo, A Coruña",0
"A Laracha, A Coruña","Culleredo, A Coruña",0
"A Laracha, A Coruña","Tordoia, A Coruña",1.5799
"A Laracha, A Coruña","Ordes, A Coruña",5.2194
"A Laracha, A Coruña","Cambre, A Coruña",5.4624
"A Laracha, A Coruña","Malpica de Bergantiños, A Coruña",5.6727
"A Laracha, A Coruña","A Coruña, A Coruña",6.172
"A Laracha, A Coruña","Abegondo, A Coruña",6.8271
"A Laracha, A Coruña","Val do Dubra, A Coruña",8.4866
"A Pobra do Brollón, Lugo","Folgoso do Courel, Lugo",0
"A Pobra do Brollón, Lugo","Monforte de Lemos, Lugo",0
"A Pobra do Brollón, Lugo","Quiroga, Lugo",0
"A Pobra do Brollón, Lugo","Samos, Lugo",0
"A Pobra do Brollón, Lugo","Sarria, Lugo",5.1646
"A Pobra do Brollón, Lugo","O Saviñao, Lugo",8.3496
"A Pobra do Caramiñal, A Coruña","Boiro, A Coruña",0
"A Pobra do Caramiñal, A Coruña","Ribeira, A Coruña",0
"A Pobra do Caramiñal, A Coruña","Vilanova de Arousa, Pontevedra",7.5167
"A Pobra do Caramiñal, A Coruña","Noia, A Coruña",9.1975
"A Pobra do Caramiñal, A Coruña","Vilagarcía de Arousa, Pontevedra",9.6132
"A Pobra do Caramiñal, A Coruña","Cambados, Pontevedra",9.8619
"A Veiga, Ourense","Vilamartín de Valdeorras, Ourense",2.0943
"A Veiga, Ourense","Quiroga, Lugo",9.5008
"Abegondo, A Coruña","Betanzos, A Coruña",0
"Abegondo, A Coruña","Cambre, A Coruña",0
"Abegondo, A Coruña","Ordes, A Coruña",0
"Abegondo, A Coruña","Culleredo, A Coruña",1.5532
"Abegondo, A Coruña","Sada, A Coruña",1.8596
"Abegondo, A Coruña","Oleiros, A Coruña",2.6159
"Abegondo, A Coruña","A Laracha, A Coruña",6.8271
"Abegondo, A Coruña","Miño, A Coruña",7.9423
"Abegondo, A Coruña","A Coruña, A Coruña",8.5703
"Abegondo, A Coruña","Curtis, A Coruña",8.9714
"Abegondo, A Coruña","Arteixo, A Coruña",9.0275
"Abegondo, A Coruña","Tordoia, A Coruña",9.7894
"Adeje, Santa Cruz de Tenerife","Arona, Santa Cruz de Tenerife",0
"Adeje, Santa Cruz de Tenerife","La Orotava, Santa Cruz de Tenerife",0
"Adeje, Santa Cruz de Tenerife","Granadilla de Abona, Santa Cruz de Tenerife",3.9723
"Adeje, Santa Cruz de Tenerife","Santiago del Teide, Santa Cruz de Tenerife",6.1708
"Adeje, Santa Cruz de Tenerife","Icod de los Vinos, Santa Cruz de Tenerife",6.1755
"Adra, Almería","El Ejido, Almería",2.3439
"Aguadulce, Sevilla","Osuna, Sevilla",0
"Aguadulce, Sevilla","Estepa, Sevilla",0
"Aguilar de la Frontera, Córdoba","Montilla, Córdoba",0
"Aguilar de la Frontera, Córdoba","Puente Genil, Córdoba",0
"Aguilar de la Frontera, Córdoba","Lucena, Córdoba",0
"Aguilar de la Frontera, Córdoba","Casariche, Sevilla",2.5989
"Aguilar de la Frontera, Córdoba","Cabra, Córdoba",2.6817
"Aguilar de la Frontera, Córdoba","Estepa, Sevilla",5.5344
"Aguilar de la Frontera, Córdoba","Écija, Sevilla",7.2274
"Aguilar de la Frontera, Córdoba","Herrera, Sevilla",7.7553
"Águilas, Murcia","Lorca, Murcia",0
"Águilas, Murcia","Mazarrón, Murcia",5.4871
"Águilas, Murcia","Huércal-Overa, Almería",9.281
"Agullent, Valencia","Ontinyent, Valencia",0
"Agullent, Valencia","L'Olleria, Valencia",1.4995
"Agullent, Valencia","Canals, Valencia",4.9795
"Agullent, Valencia","Cocentaina, Alicante",5.3926
"Agullent, Valencia","Xàtiva, Valencia",8.3175
"Ajalvir, Madrid","Paracuellos de Jarama, Madrid",0
"Ajalvir, Madrid","Torrejón de Ardoz, Madrid",0
"Ajalvir, Madrid","Alcalá de Henares, Madrid",0.4046
"Ajalvir, Madrid","Algete, Madrid",2.6299
"Ajalvir, Madrid","San Fernando de Henares, Madrid",2.8083
"Ajalvir, Madrid","Camarma de Esteruelas, Madrid",2.9137
"Ajalvir, Madrid","San Sebastián de los Reyes, Madrid",3.0212
"Ajalvir, Madrid","Alcobendas, Madrid",3.265
"Ajalvir, Madrid","Madrid, Madrid",4.4405
"Ajalvir, Madrid","Torres de la Alameda, Madrid",5.553
"Ajalvir, Madrid","Villalbilla, Madrid",6.3811
"Ajalvir, Madrid","Coslada, Madrid",6.8626
"Ajalvir, Madrid","Meco, Madrid",7.5245
"Ajalvir, Madrid","Mejorada del Campo, Madrid",8.0502
"Ajalvir, Madrid","Rivas-Vaciamadrid, Madrid",9.6666
"Ajalvir, Madrid","Valdeavero, Madrid",9.7254
"Alaior, Baleares","Es Mercadal, Baleares",0
"Alaior, Baleares","Es Migjorn Gran, Baleares",0
"Alaior, Baleares","Mahón, Baleares",0
"Alaior, Baleares","Ferreries, Baleares",2.99
"Alaior, Baleares","Sant Lluís, Baleares",3.6675
"Alaior, Baleares","Es Castell, Baleares",6.2282
"Alaior, Baleares","Ciutadella de Menorca, Baleares",8.0423
"Alaquàs, Valencia","Aldaia, Valencia",0
"Alaquàs, Valencia","Torrent, Valencia",0
"Alaquàs, Valencia","Valencia, Valencia",1.3262
"Alaquàs, Valencia","Mislata, Valencia",1.5413
"Alaquàs, Valencia","Chiva, Valencia",2.2946
"Alaquàs, Valencia","Manises, Valencia",2.7476
"Alaquàs, Valencia","Paiporta, Valencia",2.9573
"Alaquàs, Valencia","Paterna, Valencia",3.2111
"Alaquàs, Valencia","Catarroja, Valencia",4.2126
"Alaquàs, Valencia","Alfafar, Valencia",4.7288
"Alaquàs, Valencia","Picassent, Valencia",4.9348
"Alaquàs, Valencia","Alcàsser, Valencia",5.1943
"Alaquàs, Valencia","Burjassot, Valencia",5.2533
"Alaquàs, Valencia","Albal, Valencia",5.3626
"Alaquàs, Valencia","Massanassa, Valencia",5.5214
"Alaquàs, Valencia","Beniparrell, Valencia",7.1365
"Alaquàs, Valencia","Silla, Valencia",8.5787
"Alaquàs, Valencia","Alboraya, Valencia",8.6939
"Alaquàs, Valencia","Moncada, Valencia",8.8479
"Alaquàs, Valencia","Godelleta, Valencia",8.9116
"Alaquàs, Valencia","Bétera, Valencia",9.5373
"Alaró, Baleares","Bunyola, Baleares",0
"Alaró, Baleares","Escorca, Baleares",0
"Alaró, Baleares","Binissalem, Baleares",0
"Alaró, Baleares","Consell, Baleares",0
"Alaró, Baleares","Lloseta, Baleares",0
"Alaró, Baleares","Mancor de la Vall, Baleares",0
"Alaró, Baleares","Selva, Baleares",0.7488
"Alaró, Baleares","Inca, Baleares",2.2759
"Alaró, Baleares","Fornalutx, Baleares",2.6417
"Alaró, Baleares","Sóller, Baleares",2.67
"Alaró, Baleares","Marratxí, Baleares",3.248
"Alaró, Baleares","Sencelles, Baleares",3.8174
"Alaró, Baleares","Santa Eugènia, Baleares",4.2258
"Alaró, Baleares","Palma de Mallorca, Baleares",6.5633
"Alaró, Baleares","Campanet, Baleares",7.4166
"Alaró, Baleares","Valldemossa, Baleares",7.9543
"Alaró, Baleares","Costitx, Baleares",8.0266
"Alaró, Baleares","Búger, Baleares",9.9186
"Albacete, Albacete","Hellín, Albacete",0
"Albacete, Albacete","La Roda, Albacete",0
"Albal, Valencia","Alcàsser, Valencia",0
"Albal, Valencia","Beniparrell, Valencia",0
"Albal, Valencia","Catarroja, Valencia",0
"Albal, Valencia","Silla, Valencia",0
"Albal, Valencia","Valencia, Valencia",0
"Albal, Valencia","Torrent, Valencia",0.2214
"Albal, Valencia","Massanassa, Valencia",0.8955
"Albal, Valencia","Paiporta, Valencia",1.2377
"Albal, Valencia","Alfafar, Valencia",1.274
"Albal, Valencia","Picassent, Valencia",1.3642
"Albal, Valencia","Sollana, Valencia",5.3222
"Albal, Valencia","Alaquàs, Valencia",5.3626
"Albal, Valencia","Sueca, Valencia",5.8057
"Albal, Valencia","Almussafes, Valencia",5.9355
"Albal, Valencia","Aldaia, Valencia",6.3452
"Albal, Valencia","Mislata, Valencia",7.0559
"Albal, Valencia","Chiva, Valencia",8.6754
"Albal, Valencia","Manises, Valencia",9.0883
"Albal, Valencia","Paterna, Valencia",9.2183
"Albalat dels Sorells, Valencia","Foios, Valencia",0
"Albalat dels Sorells, Valencia","Moncada, Valencia",0
"Albalat dels Sorells, Valencia","Valencia, Valencia",0
"Albalat dels Sorells, Valencia","Massamagrell, Valencia",1.6071
"Albalat dels Sorells, Valencia","Alboraya, Valencia",1.6104
"Albalat dels Sorells, Valencia","Bétera, Valencia",1.9415
"Albalat dels Sorells, Valencia","Náquera, Valencia",2.1306
